Country,CustomerName,DealCategory,Order Year,Products,SalesCategory,OrderDate,Sales (bin),Ordernumber,Sales,Addressline1,Addressline2,City,Contactfirstname,Contactlastname,Customer,CustomerGroup,CustomerName (copy),Date,DealSize,Month,Month ,Msrp,Order Quarter,Orderlinenumber,OrderQuantity,Phone,Postalcode,Productcode,Quarter,Quarter (Sheet11),State,Status,Territory,UnitPrice,Year,Year (Sheet11),ZeroIfNull-OrderQuantity
Sweden,"Volvo Model Replicas, Co",Large,2003,Classic Cars,Classic Cars,3/24/2003,$0.01M,10112,$0.01M,Berguvsv„gen  8,,Lule,Christina,Berglund,"Volvo Model Replicas, Co",1,"Volvo Model Replicas, Co",3/24/2003,Large,March,3,214,Q1,1,29,0921-12 3555,S-958 22,S10_1949,1,Q1,,Shipped,EMEA,100,2003,2003,29
Spain,"Corrida Auto Replicas, Ltd",Large,2003,Classic Cars,Classic Cars,5/28/2003,$0.01M,10126,$0.01M,"C/ Araquil, 67",,Madrid,Mart¡n,Sommer,"Corrida Auto Replicas, Ltd",1,"Corrida Auto Replicas, Ltd",5/28/2003,Large,May,5,214,Q2,11,38,(91) 555 22 82,28023,S10_1949,2,Q2,,Shipped,EMEA,100,2003,2003,38
US,Technics Stores Inc.,Large,2003,Classic Cars,Classic Cars,7/24/2003,$0.01M,10140,$0.01M,9408 Furth Circle,,Burlingame,Juri,Hirano,Technics Stores Inc.,1,Technics Stores Inc.,7/24/2003,Large,July,7,214,Q3,11,37,6505556809,94217,S10_1949,3,Q3,CA,Shipped,NA,100,2003,2003,37
Singapore,"Dragon Souveniers, Ltd.",Large,2003,Classic Cars,Classic Cars,9/19/2003,$0.01M,10150,$0.01M,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,Eric,Natividad,"Dragon Souveniers, Ltd.",1,"Dragon Souveniers, Ltd.",9/19/2003,Large,September,9,214,Q3,8,45,+65 221 7555,79903,S10_1949,3,Q3,,Shipped,Japan,100,2003,2003,45
US,Classic Legends Inc.,Medium,2003,Classic Cars,Classic Cars,10/20/2003,$0.00M,10163,$0.00M,5905 Pompton St.,Suite 750,NYC,Maria,Hernandez,Classic Legends Inc.,1,Classic Legends Inc.,10/20/2003,Medium,October,10,214,Q4,1,21,2125558493,10022,S10_1949,4,Q4,NY,Shipped,NA,100,2003,2003,21
Australia,"Australian Gift Network, Co",Large,2003,Classic Cars,Classic Cars,11/6/2003,$0.01M,10174,$0.01M,31 Duncan St. West End,,South Brisbane,Tony,Calaghan,"Australian Gift Network, Co",1,"Australian Gift Network, Co",11/6/2003,Large,November,11,214,Q4,4,34,61-7-3844-6555,4101,S10_1949,4,Q4,Queensland,Shipped,APAC,100,2003,2003,34
US,"Classic Gift Ideas, Inc",Medium,2003,Classic Cars,Classic Cars,11/13/2003,$0.01M,10183,$0.01M,782 First Street,,Philadelphia,Francisca,Cervantes,"Classic Gift Ideas, Inc",1,"Classic Gift Ideas, Inc",11/13/2003,Medium,November,11,214,Q4,8,23,2155554695,71270,S10_1949,4,Q4,PA,Shipped,NA,100,2003,2003,23
France,"Saveley & Henriot, Co.",Large,2003,Classic Cars,Classic Cars,11/25/2003,$0.01M,10194,$0.01M,"2, rue du Commerce",,Lyon,Mary,Saveley,"Saveley & Henriot, Co.",1,"Saveley & Henriot, Co.",11/25/2003,Large,November,11,214,Q4,11,42,78.32.5555,69004,S10_1949,4,Q4,,Shipped,EMEA,100,2003,2003,42
Canada,Canadian Gift Exchange Network,Large,2003,Classic Cars,Classic Cars,12/5/2003,$0.01M,10206,$0.01M,1900 Oak St.,,Vancouver,Yoshi,Tannamuri,Canadian Gift Exchange Network,1,Canadian Gift Exchange Network,12/5/2003,Large,December,12,214,Q4,6,47,(604) 555-3392,V3F 2K1,S10_1949,4,Q4,BC,Shipped,NA,100,2003,2003,47
US,West Coast Collectables Co.,Medium,2004,Classic Cars,Classic Cars,1/29/2004,$0.01M,10215,$0.01M,3675 Furth Circle,,Burbank,Steve,Thompson,West Coast Collectables Co.,1,West Coast Collectables Co.,1/29/2004,Medium,January,1,214,Q1,3,35,3105553722,94019,S10_1949,1,Q1,CA,Shipped,NA,100,2004,2004,35
US,Cambridge Collectables Co.,Medium,2004,Classic Cars,Classic Cars,3/10/2004,$0.01M,10228,$0.01M,4658 Baden Av.,,Cambridge,Kyung,Tseng,Cambridge Collectables Co.,1,Cambridge Collectables Co.,3/10/2004,Medium,March,3,214,Q1,2,29,6175555555,51247,S10_1949,1,Q1,MA,Shipped,NA,100,2004,2004,29
US,Super Scale Inc.,Medium,2004,Classic Cars,Classic Cars,5/4/2004,$0.01M,10245,$0.01M,567 North Pendale Street,,New Haven,Leslie,Murphy,Super Scale Inc.,1,Super Scale Inc.,5/4/2004,Medium,May,5,214,Q2,9,34,2035559545,97823,S10_1949,2,Q2,CT,Shipped,NA,100,2004,2004,34
Japan,"Tokyo Collectables, Ltd",Large,2004,Classic Cars,Classic Cars,6/15/2004,$0.01M,10258,$0.01M,2-2-8 Roppongi,,Minato-ku,Akiko,Shimamura,"Tokyo Collectables, Ltd",1,"Tokyo Collectables, Ltd",6/15/2004,Large,June,6,214,Q2,6,32,+81 3 3584 0555,106-0032,S10_1949,2,Q2,Tokyo,Shipped,Japan,100,2004,2004,32
Australia,Souveniers And Things Co.,Medium,2004,Classic Cars,Classic Cars,7/19/2004,$0.00M,10270,$0.00M,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,Adrian,Huxley,Souveniers And Things Co.,1,Souveniers And Things Co.,7/19/2004,Medium,July,7,214,Q3,9,21,+61 2 9495 8555,2067,S10_1949,3,Q3,NSW,Shipped,APAC,100,2004,2004,21
Italy,Amica Models & Co.,Large,2004,Classic Cars,Classic Cars,8/17/2004,$0.01M,10280,$0.01M,Via Monte Bianco 34,,Torino,Paolo,Accorti,Amica Models & Co.,1,Amica Models & Co.,8/17/2004,Large,August,8,214,Q3,2,34,011-4988555,10100,S10_1949,3,Q3,,Shipped,EMEA,100,2004,2004,34
Sweden,Scandinavian Gift Ideas,Large,2004,Classic Cars,Classic Cars,9/8/2004,$0.01M,10291,$0.01M,?kergatan 24,,Boras,Maria,Larsson,Scandinavian Gift Ideas,1,Scandinavian Gift Ideas,9/8/2004,Large,September,9,214,Q3,11,37,0695-34 6555,S-844 67,S10_1949,3,Q3,,Shipped,EMEA,100,2004,2004,37
France,Auto Assoc. & Cie.,Large,2004,Classic Cars,Classic Cars,10/11/2004,$0.01M,10304,$0.01M,"67, avenue de l'Europe",,Versailles,Daniel,Tonini,Auto Assoc. & Cie.,1,Auto Assoc. & Cie.,10/11/2004,Large,October,10,214,Q4,6,47,30.59.8555,78000,S10_1949,4,Q4,,Shipped,EMEA,100,2004,2004,47
US,Mini Gifts Distributors Ltd.,Large,2004,Classic Cars,Classic Cars,10/21/2004,$0.01M,10312,$0.01M,5677 Strong St.,,San Rafael,Valarie,Nelson,Mini Gifts Distributors Ltd.,1,Mini Gifts Distributors Ltd.,10/21/2004,Large,October,10,214,Q4,3,48,4155551450,97562,S10_1949,4,Q4,CA,Shipped,NA,100,2004,2004,48
US,Online Diecast Creations Co.,Medium,2004,Classic Cars,Classic Cars,11/4/2004,$0.01M,10322,$0.01M,2304 Long Airport Avenue,,Nashua,Valarie,Young,Online Diecast Creations Co.,1,Online Diecast Creations Co.,11/4/2004,Medium,November,11,214,Q4,1,40,6035558647,62005,S10_1949,4,Q4,NH,Shipped,NA,100,2004,2004,40
US,Mini Wheels Co.,Medium,2004,Classic Cars,Classic Cars,11/18/2004,$0.00M,10333,$0.00M,5557 North Pendale Street,,San Francisco,Julie,Murphy,Mini Wheels Co.,1,Mini Wheels Co.,11/18/2004,Medium,November,11,214,Q4,3,26,6505555787,,S10_1949,4,Q4,CA,Shipped,NA,100,2004,2004,26
Australia,"Australian Collectors, Co.",Medium,2004,Classic Cars,Classic Cars,11/29/2004,$0.00M,10347,$0.00M,636 St Kilda Road,Level 3,Melbourne,Peter,Ferguson,"Australian Collectors, Co.",1,"Australian Collectors, Co.",11/29/2004,Medium,November,11,214,Q4,1,30,03 9520 4555,3004,S10_1949,4,Q4,Victoria,Shipped,APAC,100,2004,2004,30
US,Mini Gifts Distributors Ltd.,Medium,2004,Classic Cars,Classic Cars,12/10/2004,$0.01M,10357,$0.01M,5677 Strong St.,,San Rafael,Valarie,Nelson,Mini Gifts Distributors Ltd.,1,Mini Gifts Distributors Ltd.,12/10/2004,Medium,December,12,214,Q4,10,32,4155551450,97562,S10_1949,4,Q4,CA,Shipped,NA,100,2004,2004,32
US,Collectables For Less Inc.,Medium,2005,Classic Cars,Classic Cars,1/20/2005,$0.00M,10369,$0.00M,7825 Douglas Av.,,Brickhaven,Allen,Nelson,Collectables For Less Inc.,1,Collectables For Less Inc.,1/20/2005,Medium,January,1,214,Q1,2,41,6175558555,58339,S10_1949,1,Q1,MA,Shipped,NA,100,2005,2005,41
US,Corporate Gift Ideas Co.,Large,2005,Classic Cars,Classic Cars,2/17/2005,$0.01M,10381,$0.01M,7734 Strong St.,,San Francisco,Julie,Brown,Corporate Gift Ideas Co.,1,Corporate Gift Ideas Co.,2/17/2005,Large,February,2,214,Q1,3,36,6505551386,,S10_1949,1,Q1,CA,Shipped,NA,100,2005,2005,36
Australia,"Anna's Decorations, Ltd",Small,2005,Classic Cars,Classic Cars,3/9/2005,$0.00M,10391,$0.00M,201 Miller Street,Level 15,North Sydney,Anna,O'Hara,"Anna's Decorations, Ltd",1,"Anna's Decorations, Ltd",3/9/2005,Small,March,3,214,Q1,4,24,02 9936 8555,2060,S10_1949,1,Q1,NSW,Shipped,APAC,100,2005,2005,24
Canada,Quebec Home Shopping Network,Medium,2005,Classic Cars,Classic Cars,5/1/2005,$0.00M,10411,$0.00M,43 rue St. Laurent,,Montreal,Jean,Fresnisre,Quebec Home Shopping Network,1,Quebec Home Shopping Network,5/1/2005,Medium,May,5,214,Q2,9,23,(514) 555-8054,H1J 1C3,S10_1949,2,Q2,Quebec,Shipped,NA,100,2005,2005,23
Spain,Euro Shopping Channel,Large,2005,Classic Cars,Classic Cars,5/31/2005,$0.01M,10424,$0.01M,"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Euro Shopping Channel,1,Euro Shopping Channel,5/31/2005,Large,May,5,214,Q2,6,50,(91) 555 94 44,28034,S10_1949,2,Q2,,In Process,EMEA,100,2005,2005,50
US,Land of Toys Inc.,Medium,2003,Motorcycles,Motorcycles,2/24/2003,$0.00M,10107,$0.00M,897 Long Airport Avenue,,NYC,Kwai,Yu,Land of Toys Inc.,1,Land of Toys Inc.,2/24/2003,Medium,February,2,118,Q1,5,39,2125557818,10022,S10_2016,1,Q1,NY,Shipped,NA,99.91,2003,2003,39
Australia,"Australian Collectors, Co.",Small,2003,Motorcycles,Motorcycles,4/29/2003,$0.00M,10120,$0.00M,636 St Kilda Road,Level 3,Melbourne,Peter,Ferguson,"Australian Collectors, Co.",1,"Australian Collectors, Co.",4/29/2003,Small,April,4,118,Q2,3,29,03 9520 4555,3004,S10_2016,2,Q2,Victoria,Shipped,APAC,96.34,2003,2003,29
France,Lyon Souveniers,Medium,2003,Motorcycles,Motorcycles,7/1/2003,$0.00M,10134,$0.00M,27 rue du Colonel Pierre Avia,,Paris,Daniel,Da Cunha,Lyon Souveniers,1,Lyon Souveniers,7/1/2003,Medium,July,7,118,Q3,5,27,+33 1 46 62 7555,75508,S10_2016,3,Q3,,Shipped,EMEA,100,2003,2003,27
US,Toys4GrownUps.com,Medium,2003,Motorcycles,Motorcycles,8/25/2003,$0.01M,10145,$0.01M,78934 Hillside Dr.,,Pasadena,Julie,Young,Toys4GrownUps.com,1,Toys4GrownUps.com,8/25/2003,Medium,August,8,118,Q3,9,37,6265557265,90003,S10_2016,3,Q3,CA,Shipped,NA,100,2003,2003,37
US,Corporate Gift Ideas Co.,Medium,2003,Motorcycles,Motorcycles,10/10/2003,$0.01M,10159,$0.01M,7734 Strong St.,,San Francisco,Julie,Brown,Corporate Gift Ideas Co.,1,Corporate Gift Ideas Co.,10/10/2003,Medium,October,10,118,Q4,17,37,6505551386,,S10_2016,4,Q4,CA,Shipped,NA,100,2003,2003,37
US,Technics Stores Inc.,Medium,2003,Motorcycles,Motorcycles,10/28/2003,$0.00M,10168,$0.00M,9408 Furth Circle,,Burlingame,Juri,Hirano,Technics Stores Inc.,1,Technics Stores Inc.,10/28/2003,Medium,October,10,118,Q4,4,27,6505556809,94217,S10_2016,4,Q4,CA,Shipped,NA,100,2003,2003,27
France,Daedalus Designs Imports,Medium,2003,Motorcycles,Motorcycles,11/11/2003,$0.00M,10180,$0.00M,"184, chausse de Tournai",,Lille,Martine,Rance,Daedalus Designs Imports,1,Daedalus Designs Imports,11/11/2003,Medium,November,11,118,Q4,12,42,20.16.1555,59000,S10_2016,4,Q4,,Shipped,EMEA,100,2003,2003,42
Norway,Herkku Gifts,Medium,2003,Motorcycles,Motorcycles,11/18/2003,$0.00M,10188,$0.00M,"Drammen 121, PR 744 Sentrum",,Bergen,Veysel,Oeztan,Herkku Gifts,1,Herkku Gifts,11/18/2003,Medium,November,11,118,Q4,4,38,+47 2267 3215,N 5804,S10_2016,4,Q4,,Shipped,EMEA,96.34,2003,2003,38
US,Mini Wheels Co.,Medium,2003,Motorcycles,Motorcycles,12/1/2003,$0.00M,10201,$0.00M,5557 North Pendale Street,,San Francisco,Julie,Murphy,Mini Wheels Co.,1,Mini Wheels Co.,12/1/2003,Medium,December,12,118,Q4,5,24,6505555787,,S10_2016,4,Q4,CA,Shipped,NA,100,2003,2003,24
Japan,Osaka Souveniers Co.,Medium,2004,Motorcycles,Motorcycles,1/12/2004,$0.00M,10210,$0.00M,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Mory,Kentary,Osaka Souveniers Co.,1,Osaka Souveniers Co.,1/12/2004,Medium,January,1,118,Q1,2,23,+81 06 6342 5555,530-0003,S10_2016,1,Q1,Osaka,Shipped,Japan,100,2004,2004,23
Australia,"Australian Collectors, Co.",Medium,2004,Motorcycles,Motorcycles,2/20/2004,$0.01M,10223,$0.01M,636 St Kilda Road,Level 3,Melbourne,Peter,Ferguson,"Australian Collectors, Co.",1,"Australian Collectors, Co.",2/20/2004,Medium,February,2,118,Q1,4,47,03 9520 4555,3004,S10_2016,1,Q1,Victoria,Shipped,APAC,100,2004,2004,47
US,Motor Mint Distributors Inc.,Small,2004,Motorcycles,Motorcycles,4/3/2004,$0.00M,10236,$0.00M,11328 Douglas Av.,,Philadelphia,Rosa,Hernandez,Motor Mint Distributors Inc.,1,Motor Mint Distributors Inc.,4/3/2004,Small,April,4,118,Q2,1,22,2155559857,71270,S10_2016,2,Q2,PA,Shipped,NA,100,2004,2004,22
US,Tekni Collectables Inc.,Medium,2004,Motorcycles,Motorcycles,5/18/2004,$0.01M,10251,$0.01M,7476 Moss Rd.,,Newark,William,Brown,Tekni Collectables Inc.,1,Tekni Collectables Inc.,5/18/2004,Medium,May,5,118,Q2,5,44,2015559350,94019,S10_2016,2,Q2,NJ,Shipped,NA,100,2004,2004,44
US,Gift Depot Inc.,Medium,2004,Motorcycles,Motorcycles,6/28/2004,$0.00M,10263,$0.00M,25593 South Bay Ln.,,Bridgewater,Julie,King,Gift Depot Inc.,1,Gift Depot Inc.,6/28/2004,Medium,June,6,118,Q2,5,40,2035552570,97562,S10_2016,2,Q2,CT,Shipped,NA,100,2004,2004,40
France,La Rochelle Gifts,Small,2004,Motorcycles,Motorcycles,7/23/2004,$0.00M,10275,$0.00M,"67, rue des Cinquante Otages",,Nantes,Janine,Labrune,La Rochelle Gifts,1,La Rochelle Gifts,7/23/2004,Small,July,7,118,Q3,4,22,40.67.8555,44000,S10_2016,3,Q3,,Shipped,EMEA,100,2004,2004,22
US,Marta's Replicas Co.,Medium,2004,Motorcycles,Motorcycles,8/27/2004,$0.01M,10285,$0.01M,39323 Spinnaker Dr.,,Cambridge,Marta,Hernandez,Marta's Replicas Co.,1,Marta's Replicas Co.,8/27/2004,Medium,August,8,118,Q3,9,47,6175558555,51247,S10_2016,3,Q3,MA,Shipped,NA,100,2004,2004,47
France,Atelier graphique,Medium,2004,Motorcycles,Motorcycles,9/27/2004,$0.00M,10298,$0.00M,"54, rue Royale",,Nantes,Carine,Schmitt,Atelier graphique,1,Atelier graphique,9/27/2004,Medium,September,9,118,Q3,1,39,40.32.2555,44000,S10_2016,3,Q3,,Shipped,EMEA,96.34,2004,2004,39
US,Mini Classics,Medium,2004,Motorcycles,Motorcycles,10/15/2004,$0.00M,10308,$0.00M,3758 North Pendale Street,,White Plains,Steve,Frick,Mini Classics,1,Mini Classics,10/15/2004,Medium,October,10,118,Q4,2,34,9145554562,24067,S10_2016,4,Q4,NY,Shipped,NA,100,2004,2004,34
US,Diecast Classics Inc.,Medium,2004,Motorcycles,Motorcycles,11/2/2004,$0.01M,10318,$0.01M,7586 Pompton St.,,Allentown,Kyung,Yu,Diecast Classics Inc.,1,Diecast Classics Inc.,11/2/2004,Medium,November,11,118,Q4,4,45,2155551555,70267,S10_2016,4,Q4,PA,Shipped,NA,100,2004,2004,45
US,Land of Toys Inc.,Medium,2004,Motorcycles,Motorcycles,11/15/2004,$0.00M,10329,$0.00M,897 Long Airport Avenue,,NYC,Kwai,Yu,Land of Toys Inc.,1,Land of Toys Inc.,11/15/2004,Medium,November,11,118,Q4,2,20,2125557818,10022,S10_2016,4,Q4,NY,Shipped,NA,100,2004,2004,20
