Addressline1,Addressline2,City,Contactfirstname,Contactlastname,Country,Customer,CustomerName,CustomerName (copy),Date,DealCategory,DealSize,Month,Month ,Order Quarter,Order Year,OrderDate,Phone,Postalcode,Productcode,Products,Quarter,Quarter (Sheet11),Sales (bin),SalesCategory,State,Status,Territory,Year,Year (Sheet11),CustomerGroup,Msrp,Orderlinenumber,Ordernumber,OrderQuantity,Sales,UnitPrice,ZeroIfNull-OrderQuantity
636 St Kilda Road,Level 3,Melbourne,Peter,Ferguson,Australia,"Australian Collectors, Co.","Australian Collectors, Co.","Australian Collectors, Co.",20-02-2004,Medium,Medium,February,2,Q1,2004,20-02-2004,03 9520 4555,3004,S10_1678,Motorcycles,1,Q1,$0.00M,Motorcycles,Victoria,Shipped,APAC,2004,2004,1,95,1,10223,37,$0.00M,100,37
2678 Kingston Rd.,Suite 101,NYC,Michael,Frick,US,Vitachrome Inc.,Vitachrome Inc.,Vitachrome Inc.,05-04-2004,Small,Small,April,4,Q2,2004,05-04-2004,2125551500,10022,S10_1678,Motorcycles,2,Q2,$0.00M,Motorcycles,NY,Shipped,NA,2004,2004,1,95,7,10237,23,$0.00M,100,23
7476 Moss Rd.,,Newark,William,Brown,US,Tekni Collectables Inc.,Tekni Collectables Inc.,Tekni Collectables Inc.,18-05-2004,Medium,Medium,May,5,Q2,2004,18-05-2004,2015559350,94019,S10_1678,Motorcycles,2,Q2,$0.00M,Motorcycles,NJ,Shipped,NA,2004,2004,1,95,2,10251,28,$0.00M,100,28
25593 South Bay Ln.,,Bridgewater,Julie,King,US,Gift Depot Inc.,Gift Depot Inc.,Gift Depot Inc.,28-06-2004,Medium,Medium,June,6,Q2,2004,28-06-2004,2035552570,97562,S10_1678,Motorcycles,2,Q2,$0.00M,Motorcycles,CT,Shipped,NA,2004,2004,1,95,2,10263,34,$0.00M,100,34
"67, rue des Cinquante Otages",,Nantes,Janine,Labrune,France,La Rochelle Gifts,La Rochelle Gifts,La Rochelle Gifts,23-07-2004,Medium,Medium,July,7,Q3,2004,23-07-2004,40.67.8555,44000,S10_1678,Motorcycles,3,Q3,$0.00M,Motorcycles,,Shipped,EMEA,2004,2004,1,95,1,10275,45,$0.00M,92.83,45
39323 Spinnaker Dr.,,Cambridge,Marta,Hernandez,US,Marta's Replicas Co.,Marta's Replicas Co.,Marta's Replicas Co.,27-08-2004,Medium,Medium,August,8,Q3,2004,27-08-2004,6175558555,51247,S10_1678,Motorcycles,3,Q3,$0.00M,Motorcycles,MA,Shipped,NA,2004,2004,1,95,6,10285,36,$0.00M,100,36
Keskuskatu 45,,Helsinki,Matti,Karttunen,Finland,"Toys of Finland, Co.","Toys of Finland, Co.","Toys of Finland, Co.",30-09-2004,Small,Small,September,9,Q3,2004,30-09-2004,90-224 8555,21240,S10_1678,Motorcycles,3,Q3,$0.00M,Motorcycles,,Shipped,EMEA,2004,2004,1,95,9,10299,23,$0.00M,100,23
Erling Skakkes gate 78,,Stavern,Jonas,Bergulfsen,Norway,Baane Mini Imports,Baane Mini Imports,Baane Mini Imports,15-10-2004,Medium,Medium,October,10,Q4,2004,15-10-2004,07-98 9555,4110,S10_1678,Motorcycles,4,Q4,$0.00M,Motorcycles,,Shipped,EMEA,2004,2004,1,95,5,10309,41,$0.00M,100,41
7586 Pompton St.,,Allentown,Kyung,Yu,US,Diecast Classics Inc.,Diecast Classics Inc.,Diecast Classics Inc.,02-11-2004,Medium,Medium,November,11,Q4,2004,02-11-2004,2155551555,70267,S10_1678,Motorcycles,4,Q4,$0.00M,Motorcycles,PA,Shipped,NA,2004,2004,1,95,1,10318,46,$0.00M,94.74,46
897 Long Airport Avenue,,NYC,Kwai,Yu,US,Land of Toys Inc.,Land of Toys Inc.,Land of Toys Inc.,15-11-2004,Medium,Medium,November,11,Q4,2004,15-11-2004,2125557818,10022,S10_1678,Motorcycles,4,Q4,$0.00M,Motorcycles,NY,Shipped,NA,2004,2004,1,95,1,10329,42,$0.00M,100,42
Geislweg 14,,Salzburg,Georg,Pipps,Austria,Salzburg Collectables,Salzburg Collectables,Salzburg Collectables,24-11-2004,Large,Large,November,11,Q4,2004,24-11-2004,6562-9555,5020,S10_1678,Motorcycles,4,Q4,$0.01M,Motorcycles,,Shipped,EMEA,2004,2004,1,95,9,10341,41,$0.01M,100,41
"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,Adrian,Huxley,Australia,Souveniers And Things Co.,Souveniers And Things Co.,Souveniers And Things Co.,17-12-2004,Small,Small,December,12,Q4,2004,17-12-2004,+61 2 9495 8555,2067,S10_1678,Motorcycles,4,Q4,$0.00M,Motorcycles,NSW,Shipped,APAC,2004,2004,1,95,13,10361,20,$0.00M,72.55,20
"67, rue des Cinquante Otages",,Nantes,Janine,Labrune,France,La Rochelle Gifts,La Rochelle Gifts,La Rochelle Gifts,03-02-2005,Small,Small,February,2,Q1,2005,03-02-2005,40.67.8555,44000,S10_1678,Motorcycles,1,Q1,$0.00M,Motorcycles,,Shipped,EMEA,2005,2005,1,95,12,10375,21,$0.00M,34.91,21
1785 First Street,,New Bedford,Violeta,Benitez,US,FunGiftIdeas.com,FunGiftIdeas.com,FunGiftIdeas.com,03-03-2005,Medium,Medium,March,3,Q1,2005,03-03-2005,5085552555,50553,S10_1678,Motorcycles,1,Q1,$0.00M,Motorcycles,MA,Shipped,NA,2005,2005,1,95,4,10388,42,$0.00M,76.36,42
Berkeley Gardens 12  Brewery,,Liverpool,Elizabeth,Devon,UK,"UK Collectables, Ltd.","UK Collectables, Ltd.","UK Collectables, Ltd.",08-04-2005,Small,Small,April,4,Q2,2005,08-04-2005,(171) 555-2282,WX1 6LT,S10_1678,Motorcycles,2,Q2,$0.00M,Motorcycles,,Shipped,EMEA,2005,2005,1,95,7,10403,24,$0.00M,100,24
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,13-05-2005,Large,Large,May,5,Q2,2005,13-05-2005,(91) 555 94 44,28034,S10_1678,Motorcycles,2,Q2,$0.01M,Motorcycles,,Disputed,EMEA,2005,2005,1,95,2,10417,66,$0.01M,100,66
Erling Skakkes gate 78,,Stavern,Jonas,Bergulfsen,Norway,Baane Mini Imports,Baane Mini Imports,Baane Mini Imports,29-01-2003,Medium,Medium,January,1,Q1,2003,29-01-2003,07-98 9555,4110,S10_1949,Classic Cars,1,Q1,$0.01M,Classic Cars,,Shipped,EMEA,2003,2003,1,214,11,10103,26,$0.01M,100,26
Berguvsv„gen  8,,Lule,Christina,Berglund,Sweden,"Volvo Model Replicas, Co","Volvo Model Replicas, Co","Volvo Model Replicas, Co",24-03-2003,Large,Large,March,3,Q1,2003,24-03-2003,0921-12 3555,S-958 22,S10_1949,Classic Cars,1,Q1,$0.01M,Classic Cars,,Shipped,EMEA,2003,2003,1,214,1,10112,29,$0.01M,100,29
"C/ Araquil, 67",,Madrid,Mart¡n,Sommer,Spain,"Corrida Auto Replicas, Ltd","Corrida Auto Replicas, Ltd","Corrida Auto Replicas, Ltd",28-05-2003,Large,Large,May,5,Q2,2003,28-05-2003,(91) 555 22 82,28023,S10_1949,Classic Cars,2,Q2,$0.01M,Classic Cars,,Shipped,EMEA,2003,2003,1,214,11,10126,38,$0.01M,100,38
9408 Furth Circle,,Burlingame,Juri,Hirano,US,Technics Stores Inc.,Technics Stores Inc.,Technics Stores Inc.,24-07-2003,Large,Large,July,7,Q3,2003,24-07-2003,6505556809,94217,S10_1949,Classic Cars,3,Q3,$0.01M,Classic Cars,CA,Shipped,NA,2003,2003,1,214,11,10140,37,$0.01M,100,37
"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,Eric,Natividad,Singapore,"Dragon Souveniers, Ltd.","Dragon Souveniers, Ltd.","Dragon Souveniers, Ltd.",19-09-2003,Large,Large,September,9,Q3,2003,19-09-2003,+65 221 7555,79903,S10_1949,Classic Cars,3,Q3,$0.01M,Classic Cars,,Shipped,Japan,2003,2003,1,214,8,10150,45,$0.01M,100,45
5905 Pompton St.,Suite 750,NYC,Maria,Hernandez,US,Classic Legends Inc.,Classic Legends Inc.,Classic Legends Inc.,20-10-2003,Medium,Medium,October,10,Q4,2003,20-10-2003,2125558493,10022,S10_1949,Classic Cars,4,Q4,$0.00M,Classic Cars,NY,Shipped,NA,2003,2003,1,214,1,10163,21,$0.00M,100,21
31 Duncan St. West End,,South Brisbane,Tony,Calaghan,Australia,"Australian Gift Network, Co","Australian Gift Network, Co","Australian Gift Network, Co",06-11-2003,Large,Large,November,11,Q4,2003,06-11-2003,61-7-3844-6555,4101,S10_1949,Classic Cars,4,Q4,$0.01M,Classic Cars,Queensland,Shipped,APAC,2003,2003,1,214,4,10174,34,$0.01M,100,34
782 First Street,,Philadelphia,Francisca,Cervantes,US,"Classic Gift Ideas, Inc","Classic Gift Ideas, Inc","Classic Gift Ideas, Inc",13-11-2003,Medium,Medium,November,11,Q4,2003,13-11-2003,2155554695,71270,S10_1949,Classic Cars,4,Q4,$0.01M,Classic Cars,PA,Shipped,NA,2003,2003,1,214,8,10183,23,$0.01M,100,23
"2, rue du Commerce",,Lyon,Mary,Saveley,France,"Saveley & Henriot, Co.","Saveley & Henriot, Co.","Saveley & Henriot, Co.",25-11-2003,Large,Large,November,11,Q4,2003,25-11-2003,78.32.5555,69004,S10_1949,Classic Cars,4,Q4,$0.01M,Classic Cars,,Shipped,EMEA,2003,2003,1,214,11,10194,42,$0.01M,100,42
1900 Oak St.,,Vancouver,Yoshi,Tannamuri,Canada,Canadian Gift Exchange Network,Canadian Gift Exchange Network,Canadian Gift Exchange Network,05-12-2003,Large,Large,December,12,Q4,2003,05-12-2003,(604) 555-3392,V3F 2K1,S10_1949,Classic Cars,4,Q4,$0.01M,Classic Cars,BC,Shipped,NA,2003,2003,1,214,6,10206,47,$0.01M,100,47
3675 Furth Circle,,Burbank,Steve,Thompson,US,West Coast Collectables Co.,West Coast Collectables Co.,West Coast Collectables Co.,29-01-2004,Medium,Medium,January,1,Q1,2004,29-01-2004,3105553722,94019,S10_1949,Classic Cars,1,Q1,$0.01M,Classic Cars,CA,Shipped,NA,2004,2004,1,214,3,10215,35,$0.01M,100,35
4658 Baden Av.,,Cambridge,Kyung,Tseng,US,Cambridge Collectables Co.,Cambridge Collectables Co.,Cambridge Collectables Co.,10-03-2004,Medium,Medium,March,3,Q1,2004,10-03-2004,6175555555,51247,S10_1949,Classic Cars,1,Q1,$0.01M,Classic Cars,MA,Shipped,NA,2004,2004,1,214,2,10228,29,$0.01M,100,29
567 North Pendale Street,,New Haven,Leslie,Murphy,US,Super Scale Inc.,Super Scale Inc.,Super Scale Inc.,04-05-2004,Medium,Medium,May,5,Q2,2004,04-05-2004,2035559545,97823,S10_1949,Classic Cars,2,Q2,$0.01M,Classic Cars,CT,Shipped,NA,2004,2004,1,214,9,10245,34,$0.01M,100,34
2-2-8 Roppongi,,Minato-ku,Akiko,Shimamura,Japan,"Tokyo Collectables, Ltd","Tokyo Collectables, Ltd","Tokyo Collectables, Ltd",15-06-2004,Large,Large,June,6,Q2,2004,15-06-2004,+81 3 3584 0555,106-0032,S10_1949,Classic Cars,2,Q2,$0.01M,Classic Cars,Tokyo,Shipped,Japan,2004,2004,1,214,6,10258,32,$0.01M,100,32
"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,Adrian,Huxley,Australia,Souveniers And Things Co.,Souveniers And Things Co.,Souveniers And Things Co.,19-07-2004,Medium,Medium,July,7,Q3,2004,19-07-2004,+61 2 9495 8555,2067,S10_1949,Classic Cars,3,Q3,$0.00M,Classic Cars,NSW,Shipped,APAC,2004,2004,1,214,9,10270,21,$0.00M,100,21
Via Monte Bianco 34,,Torino,Paolo,Accorti,Italy,Amica Models & Co.,Amica Models & Co.,Amica Models & Co.,17-08-2004,Large,Large,August,8,Q3,2004,17-08-2004,011-4988555,10100,S10_1949,Classic Cars,3,Q3,$0.01M,Classic Cars,,Shipped,EMEA,2004,2004,1,214,2,10280,34,$0.01M,100,34
?kergatan 24,,Boras,Maria,Larsson,Sweden,Scandinavian Gift Ideas,Scandinavian Gift Ideas,Scandinavian Gift Ideas,08-09-2004,Large,Large,September,9,Q3,2004,08-09-2004,0695-34 6555,S-844 67,S10_1949,Classic Cars,3,Q3,$0.01M,Classic Cars,,Shipped,EMEA,2004,2004,1,214,11,10291,37,$0.01M,100,37
"67, avenue de l'Europe",,Versailles,Daniel,Tonini,France,Auto Assoc. & Cie.,Auto Assoc. & Cie.,Auto Assoc. & Cie.,11-10-2004,Large,Large,October,10,Q4,2004,11-10-2004,30.59.8555,78000,S10_1949,Classic Cars,4,Q4,$0.01M,Classic Cars,,Shipped,EMEA,2004,2004,1,214,6,10304,47,$0.01M,100,47
5677 Strong St.,,San Rafael,Valarie,Nelson,US,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,21-10-2004,Large,Large,October,10,Q4,2004,21-10-2004,4155551450,97562,S10_1949,Classic Cars,4,Q4,$0.01M,Classic Cars,CA,Shipped,NA,2004,2004,1,214,3,10312,48,$0.01M,100,48
2304 Long Airport Avenue,,Nashua,Valarie,Young,US,Online Diecast Creations Co.,Online Diecast Creations Co.,Online Diecast Creations Co.,04-11-2004,Medium,Medium,November,11,Q4,2004,04-11-2004,6035558647,62005,S10_1949,Classic Cars,4,Q4,$0.01M,Classic Cars,NH,Shipped,NA,2004,2004,1,214,1,10322,40,$0.01M,100,40
5557 North Pendale Street,,San Francisco,Julie,Murphy,US,Mini Wheels Co.,Mini Wheels Co.,Mini Wheels Co.,18-11-2004,Medium,Medium,November,11,Q4,2004,18-11-2004,6505555787,,S10_1949,Classic Cars,4,Q4,$0.00M,Classic Cars,CA,Shipped,NA,2004,2004,1,214,3,10333,26,$0.00M,100,26
636 St Kilda Road,Level 3,Melbourne,Peter,Ferguson,Australia,"Australian Collectors, Co.","Australian Collectors, Co.","Australian Collectors, Co.",29-11-2004,Medium,Medium,November,11,Q4,2004,29-11-2004,03 9520 4555,3004,S10_1949,Classic Cars,4,Q4,$0.00M,Classic Cars,Victoria,Shipped,APAC,2004,2004,1,214,1,10347,30,$0.00M,100,30
5677 Strong St.,,San Rafael,Valarie,Nelson,US,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,10-12-2004,Medium,Medium,December,12,Q4,2004,10-12-2004,4155551450,97562,S10_1949,Classic Cars,4,Q4,$0.01M,Classic Cars,CA,Shipped,NA,2004,2004,1,214,10,10357,32,$0.01M,100,32
7825 Douglas Av.,,Brickhaven,Allen,Nelson,US,Collectables For Less Inc.,Collectables For Less Inc.,Collectables For Less Inc.,20-01-2005,Medium,Medium,January,1,Q1,2005,20-01-2005,6175558555,58339,S10_1949,Classic Cars,1,Q1,$0.00M,Classic Cars,MA,Shipped,NA,2005,2005,1,214,2,10369,41,$0.00M,100,41
7734 Strong St.,,San Francisco,Julie,Brown,US,Corporate Gift Ideas Co.,Corporate Gift Ideas Co.,Corporate Gift Ideas Co.,17-02-2005,Large,Large,February,2,Q1,2005,17-02-2005,6505551386,,S10_1949,Classic Cars,1,Q1,$0.01M,Classic Cars,CA,Shipped,NA,2005,2005,1,214,3,10381,36,$0.01M,100,36
201 Miller Street,Level 15,North Sydney,Anna,O'Hara,Australia,"Anna's Decorations, Ltd","Anna's Decorations, Ltd","Anna's Decorations, Ltd",09-03-2005,Small,Small,March,3,Q1,2005,09-03-2005,02 9936 8555,2060,S10_1949,Classic Cars,1,Q1,$0.00M,Classic Cars,NSW,Shipped,APAC,2005,2005,1,214,4,10391,24,$0.00M,100,24
43 rue St. Laurent,,Montreal,Jean,Fresnisre,Canada,Quebec Home Shopping Network,Quebec Home Shopping Network,Quebec Home Shopping Network,01-05-2005,Medium,Medium,May,5,Q2,2005,01-05-2005,(514) 555-8054,H1J 1C3,S10_1949,Classic Cars,2,Q2,$0.00M,Classic Cars,Quebec,Shipped,NA,2005,2005,1,214,9,10411,23,$0.00M,100,23
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,31-05-2005,Large,Large,May,5,Q2,2005,31-05-2005,(91) 555 94 44,28034,S10_1949,Classic Cars,2,Q2,$0.01M,Classic Cars,,In Process,EMEA,2005,2005,1,214,6,10424,50,$0.01M,100,50
897 Long Airport Avenue,,NYC,Kwai,Yu,US,Land of Toys Inc.,Land of Toys Inc.,Land of Toys Inc.,24-02-2003,Medium,Medium,February,2,Q1,2003,24-02-2003,2125557818,10022,S10_2016,Motorcycles,1,Q1,$0.00M,Motorcycles,NY,Shipped,NA,2003,2003,1,118,5,10107,39,$0.00M,99.91,39
636 St Kilda Road,Level 3,Melbourne,Peter,Ferguson,Australia,"Australian Collectors, Co.","Australian Collectors, Co.","Australian Collectors, Co.",29-04-2003,Small,Small,April,4,Q2,2003,29-04-2003,03 9520 4555,3004,S10_2016,Motorcycles,2,Q2,$0.00M,Motorcycles,Victoria,Shipped,APAC,2003,2003,1,118,3,10120,29,$0.00M,96.34,29
27 rue du Colonel Pierre Avia,,Paris,Daniel,Da Cunha,France,Lyon Souveniers,Lyon Souveniers,Lyon Souveniers,01-07-2003,Medium,Medium,July,7,Q3,2003,01-07-2003,+33 1 46 62 7555,75508,S10_2016,Motorcycles,3,Q3,$0.00M,Motorcycles,,Shipped,EMEA,2003,2003,1,118,5,10134,27,$0.00M,100,27
78934 Hillside Dr.,,Pasadena,Julie,Young,US,Toys4GrownUps.com,Toys4GrownUps.com,Toys4GrownUps.com,25-08-2003,Medium,Medium,August,8,Q3,2003,25-08-2003,6265557265,90003,S10_2016,Motorcycles,3,Q3,$0.01M,Motorcycles,CA,Shipped,NA,2003,2003,1,118,9,10145,37,$0.01M,100,37
7734 Strong St.,,San Francisco,Julie,Brown,US,Corporate Gift Ideas Co.,Corporate Gift Ideas Co.,Corporate Gift Ideas Co.,10-10-2003,Medium,Medium,October,10,Q4,2003,10-10-2003,6505551386,,S10_2016,Motorcycles,4,Q4,$0.01M,Motorcycles,CA,Shipped,NA,2003,2003,1,118,17,10159,37,$0.01M,100,37
9408 Furth Circle,,Burlingame,Juri,Hirano,US,Technics Stores Inc.,Technics Stores Inc.,Technics Stores Inc.,28-10-2003,Medium,Medium,October,10,Q4,2003,28-10-2003,6505556809,94217,S10_2016,Motorcycles,4,Q4,$0.00M,Motorcycles,CA,Shipped,NA,2003,2003,1,118,4,10168,27,$0.00M,100,27
"184, chausse de Tournai",,Lille,Martine,Rance,France,Daedalus Designs Imports,Daedalus Designs Imports,Daedalus Designs Imports,11-11-2003,Medium,Medium,November,11,Q4,2003,11-11-2003,20.16.1555,59000,S10_2016,Motorcycles,4,Q4,$0.00M,Motorcycles,,Shipped,EMEA,2003,2003,1,118,12,10180,42,$0.00M,100,42
"Drammen 121, PR 744 Sentrum",,Bergen,Veysel,Oeztan,Norway,Herkku Gifts,Herkku Gifts,Herkku Gifts,18-11-2003,Medium,Medium,November,11,Q4,2003,18-11-2003,+47 2267 3215,N 5804,S10_2016,Motorcycles,4,Q4,$0.00M,Motorcycles,,Shipped,EMEA,2003,2003,1,118,4,10188,38,$0.00M,96.34,38
5557 North Pendale Street,,San Francisco,Julie,Murphy,US,Mini Wheels Co.,Mini Wheels Co.,Mini Wheels Co.,01-12-2003,Medium,Medium,December,12,Q4,2003,01-12-2003,6505555787,,S10_2016,Motorcycles,4,Q4,$0.00M,Motorcycles,CA,Shipped,NA,2003,2003,1,118,5,10201,24,$0.00M,100,24
"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Mory,Kentary,Japan,Osaka Souveniers Co.,Osaka Souveniers Co.,Osaka Souveniers Co.,12-01-2004,Medium,Medium,January,1,Q1,2004,12-01-2004,+81 06 6342 5555,530-0003,S10_2016,Motorcycles,1,Q1,$0.00M,Motorcycles,Osaka,Shipped,Japan,2004,2004,1,118,2,10210,23,$0.00M,100,23
636 St Kilda Road,Level 3,Melbourne,Peter,Ferguson,Australia,"Australian Collectors, Co.","Australian Collectors, Co.","Australian Collectors, Co.",20-02-2004,Medium,Medium,February,2,Q1,2004,20-02-2004,03 9520 4555,3004,S10_2016,Motorcycles,1,Q1,$0.01M,Motorcycles,Victoria,Shipped,APAC,2004,2004,1,118,4,10223,47,$0.01M,100,47
11328 Douglas Av.,,Philadelphia,Rosa,Hernandez,US,Motor Mint Distributors Inc.,Motor Mint Distributors Inc.,Motor Mint Distributors Inc.,03-04-2004,Small,Small,April,4,Q2,2004,03-04-2004,2155559857,71270,S10_2016,Motorcycles,2,Q2,$0.00M,Motorcycles,PA,Shipped,NA,2004,2004,1,118,1,10236,22,$0.00M,100,22
7476 Moss Rd.,,Newark,William,Brown,US,Tekni Collectables Inc.,Tekni Collectables Inc.,Tekni Collectables Inc.,18-05-2004,Medium,Medium,May,5,Q2,2004,18-05-2004,2015559350,94019,S10_2016,Motorcycles,2,Q2,$0.01M,Motorcycles,NJ,Shipped,NA,2004,2004,1,118,5,10251,44,$0.01M,100,44
25593 South Bay Ln.,,Bridgewater,Julie,King,US,Gift Depot Inc.,Gift Depot Inc.,Gift Depot Inc.,28-06-2004,Medium,Medium,June,6,Q2,2004,28-06-2004,2035552570,97562,S10_2016,Motorcycles,2,Q2,$0.00M,Motorcycles,CT,Shipped,NA,2004,2004,1,118,5,10263,40,$0.00M,100,40
"67, rue des Cinquante Otages",,Nantes,Janine,Labrune,France,La Rochelle Gifts,La Rochelle Gifts,La Rochelle Gifts,23-07-2004,Small,Small,July,7,Q3,2004,23-07-2004,40.67.8555,44000,S10_2016,Motorcycles,3,Q3,$0.00M,Motorcycles,,Shipped,EMEA,2004,2004,1,118,4,10275,22,$0.00M,100,22
39323 Spinnaker Dr.,,Cambridge,Marta,Hernandez,US,Marta's Replicas Co.,Marta's Replicas Co.,Marta's Replicas Co.,27-08-2004,Medium,Medium,August,8,Q3,2004,27-08-2004,6175558555,51247,S10_2016,Motorcycles,3,Q3,$0.01M,Motorcycles,MA,Shipped,NA,2004,2004,1,118,9,10285,47,$0.01M,100,47
"54, rue Royale",,Nantes,Carine,Schmitt,France,Atelier graphique,Atelier graphique,Atelier graphique,27-09-2004,Medium,Medium,September,9,Q3,2004,27-09-2004,40.32.2555,44000,S10_2016,Motorcycles,3,Q3,$0.00M,Motorcycles,,Shipped,EMEA,2004,2004,1,118,1,10298,39,$0.00M,96.34,39
3758 North Pendale Street,,White Plains,Steve,Frick,US,Mini Classics,Mini Classics,Mini Classics,15-10-2004,Medium,Medium,October,10,Q4,2004,15-10-2004,9145554562,24067,S10_2016,Motorcycles,4,Q4,$0.00M,Motorcycles,NY,Shipped,NA,2004,2004,1,118,2,10308,34,$0.00M,100,34
7586 Pompton St.,,Allentown,Kyung,Yu,US,Diecast Classics Inc.,Diecast Classics Inc.,Diecast Classics Inc.,02-11-2004,Medium,Medium,November,11,Q4,2004,02-11-2004,2155551555,70267,S10_2016,Motorcycles,4,Q4,$0.01M,Motorcycles,PA,Shipped,NA,2004,2004,1,118,4,10318,45,$0.01M,100,45
897 Long Airport Avenue,,NYC,Kwai,Yu,US,Land of Toys Inc.,Land of Toys Inc.,Land of Toys Inc.,15-11-2004,Medium,Medium,November,11,Q4,2004,15-11-2004,2125557818,10022,S10_2016,Motorcycles,4,Q4,$0.00M,Motorcycles,NY,Shipped,NA,2004,2004,1,118,2,10329,20,$0.00M,100,20
